Title,Condition,Buy Price,Author,Publisher,ISBN
Letter from New York: BBC Women's Hour Broadcasts,Good,15.79,Helene Hanff,Harper Perennial,0060975431
The Star Rover,Good,8.39,Jack London,Prometheus Books,1573926957
Ashenden: Or The British Agent,Very Good,9.59,W. Somerset Maugham,Vintage Classics,0099289709
The Short Stories of Saki,Good,4.59,Saki,Wordsworth Editions,1853260711
Good as Gold,Good,4.79,Joseph Heller,Simon & Schuster,0684839741
Penrod and Sam,Very Good,15.19,Booth Tarkington,Indiana University Press,0253215943
Marcella: A Raggedy Ann Story (Raggedy Ann),Good,4.79,Johnny Gruelle,Simon & Schuster Books for Young Readers,0689828780
Five Children and It / The Phoenix and the Carpet / The Story of the Amulet,New,33.54,E. Nesbit,Read & Co. Children's,1528770137
Unconditional Surrender,Good,10.59,Evelyn Waugh,Back Bay Books,0316216739
The Expedition of Humphry Clinker,Good,8.59,Tobias Smollett,Oxford University Press,0199538980
Mosquitoes,Good,9.29,William Faulkner,Vintage Books,0593470982
Battlestar Galactica,Good,9.19,Robert Thurston,iBooks,074344485X
Zora Neale Hurston: Novels & Stories,Good,20.59,Zora Neale Hurston,Library of America,0940450836
À la recherche du temps perdu,Very Good,27.19,Marcel Proust,Createspace Independent Publishing Platform,150778399X
Mother West Wind's Neighbors,Good,4.39,Thornton W. Burgess,Dover Publications,048642846X
Mountolive,Good,5.19,Lawrence Durrell,Penguin Publishing Group,0140153209
Joseph und seine Brüder,Good,20.09,Thomas Mann,Everyman's Library,1400040019
Stories From the Blue Moon Cafe,Good,5.19,Tom Franklin,New American Library,0451210425
Машенька,Good,8.29,Vladimir Nabokov,Knopf Doubleday Publishing Group,0679726209
"The Wide, Wide World",New,13.28,Susan Bogert Warner,Createspace Independent Publishing Platform,1974632717
Tales From Shakespeare,Good,5.39,William Shakespeare,Scholastic Press,0439321077
The Manticore,Good,13.79,Robertson Davies,Penguin Publishing Group,014303913X
Slan,Good,5.89,A.E. van Vogt,Orb Books,0312852363
Novels and Stories: The Call of the Wild / White Fang / The Sea-Wolf / Klondike and Other Stories,Good,7.99,Jack London,Library of America,0940450054
Soldiers' Pay,Good,8.59,William Faulkner,Vintage Books,0593470966
Moby Dick / Billy Budd,Good,7.09,Herman Melville,Octopus,0706420969
Bring the Jubilee,Like New,10.49,Ward Moore,Wildside Press,143447853X
The Price of the Ticket,Very Good,315.29,James Baldwin,St. Martin's Press,0312643071
"Король, дама, валет",Good,6.09,Vladimir Nabokov,Vintage,0679723404
Die Wahlverwandtschaften,Good,10.49,Johann Wolfgang von Goethe,Oxford University Press,0199555362
"The Nigger of the ""Narcissus""",Like New,11.09,Joseph Conrad,Createspace Independent Publishing Platform,1976185602
Show Boat,Very Good,9.09,Edna Ferber,Knopf Doubleday Publishing Group,0345805739
Reporting World War II Vol. 1: American Journalism 1938-1944 (Library of America),Good,5.59,,Library of America,1883011043
A Sentimental Journey through France and Italy,Good,5.39,Laurence Sterne,Penguin Group,0140437797
The Heart of Midlothian,Very Good,8.09,Walter Scott,Oxford University Press,0199538395
La Vie devant soi,Very Good,11.29,Romain Gary,New Directions Publishing Corporation,0811232417
War And Peace(Illustrated),Acceptable,8.29,Leo Tolstoy,100 Page Summaries,1939370051
In Search of a Homeland : The Story of the Aeneid,Good,50.39,Penelope Lively,Lincoln Children's Books,184507792X
"Капитанская дочка, Пиковая дама, Дубровский, Арап Петра Великого, Станционный смотритель, Метель",Good,9.39,Alexander Pushkin,Knopf Doubleday Publishing Group,0307949656
The Blood of Others,Very Good,16.19,Simone de Beauvoir,Pantheon Books,0394724119
Chéri,Good,4.99,Colette,Dover Publications,0486415996
Typee / Omoo / Mardi,Acceptable,21.49,Herman Melville,CreateSpace Independent Publishing Platform,1719044252
Raintree County,Good,9.09,Ross Lockridge Jr.,Dell,B0007F2WKE
Guys and Dolls: The Stories of Damon Runyon,Good,5.59,Damon Runyon,Penguin Group,0140176594
Long and Happy Life,Good,4.99,Reynolds Price,Scribner Book Company,1439109346
The Picture of Dorian Gray and Other Works,Like New,33.29,Oscar Wilde,Barnes & Noble Inc,1435139437
"The Ramona Collection, Vol. 2: Ramona and Her Mother / Ramona and Her Father / Ramona Forever / Ramona's World",New,29.3,Beverly Cleary,HarperCollins,0061246484
The Scarlet Letter,Good,23.79,Nathaniel Hawthorne,Library of America,0940450089
Jack London: The Call of the Wild; White Fang; The Sea-Wolf; 40 Short Stories,Good,15.09,Jack London,Random House Value Publishing,0517413787
The Awkward Age,Good,6.39,Henry James,Penguin Books,0140432973
Tarzan Triumphant,Good,7.39,Edgar Rice Burroughs,Ace,B000EZRMAM
A Tree for Peter,New,12.99,Kate Seredy,Purple House Press,1930900805
"Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell, My Lovely / The High Window",New,33.88,Raymond Chandler,Library of America,1883011078
Clea,Good,5.09,Lawrence Durrell,Penguin Publishing Group,0140153225
The Witches' Companion,Acceptable,13.79,Katherine Ramsland,Ballantine Books,0345406249
Märchen,Acceptable,9.49,E.T.A. Hoffmann,Continuum,082640264X
Green Light,Acceptable,20.99,Lloyd C. Douglas,Benediction Books,1849026246
"Licks of Love: Short Stories and a Sequel, ""Rabbit Remembered""",Good,4.39,John Updike,Random House Publishing Group,0345442016
Omoo: A Narrative of Adventures in the South Seas,New,19.65,Herman Melville,Penguin Publishing Group,0143104926
Tarzan the Invincible,Acceptable,6.59,Edgar Rice Burroughs,Ballantine Apr. 1970,0345019083
A Week on the Concord and Merrimack Rivers / Walden / The Maine Woods / Cape Cod,Good,7.39,Henry David Thoreau,Library of America,0940450275
Billard um halb zehn,Good,19.19,Heinrich Böll,Melville House Publishing,1935554182
Tales of Horror,Good,11.39,H.P. Lovecraft,Canterbury Classics,1607109328
Tarzan and the Lost Empire,Acceptable,6.59,Edgar Rice Burroughs,Ace Books,B00087DKU2
The Dunwich Horror,New,25.49,H.P. Lovecraft,Design Studio Press,1624650775
Great Expectations,Very Good,5.69,Charles Dickens,Random House Children's Books,0679874666
Storm (California Legacy),New,14.82,George R. Stewart,New York Review of Books,1681375184
The Thundering Herd,Good,5.79,Zane Grey,Bison Books,0803270658
Tarzan the Magnificent,Acceptable,7.39,Edgar Rice Burroughs,Ballantine Books,B000WR1I66
Rosshalde,Acceptable,8.19,Hermann Hesse,Picador USA,0312422296
The War Prayer,Good,4.19,Mark Twain,Harper Perennial,0060911131
Portrait of Jennie,Good,18.79,Robert Nathan,Laurel-Leaf Books by Dell Publlishing Co.,0440970520
Tarzan and the Ant Men,Acceptable,7.09,Edgar Rice Burroughs,Positronic Publishing,1515443639
Carmen,Very Good,19.29,Prosper Mérimée,Dover Publications,0486258203
Trois contes: Un coeur simple; La légende de Saint-Julien l'Hospitalier; Hérodias,Good,7.09,Gustave Flaubert,Penguin Group,0140448004
Quiet Days in Clichy,Good,5.79,Henry Miller,Grove Press,080213016X
Time Must Have a Stop,Good,9.19,Aldous Huxley,Dalkey Archive Press,1564781801
Losing Battles,Very Good,5.69,Eudora Welty,Knopf Publishing Group,0679728821
Bless the Beasts and Children,Acceptable,3.99,Glendon Swarthout,Simon & Schuster,0743493699
Castle Richmond,Good,5.59,Anthony Trollope,Penguin Group,0140438084
"The Best of the West: Anthology of Classic Writing From the American West, An",Very Good,5.59,Tony Hillerman,Harper Perennial,0060923520
In Mad Love and War (Wesleyan Poetry),Good,5.09,Joy Harjo,Wesleyan University Press,081951182X
The Fifth Column & Four Stories of the Spanish Civil War,Good,6.69,Ernest Hemingway,Scribner Book Company,0684839261
Redburn / White-Jacket / Moby-Dick,Good,11.09,Herman Melville,Library of America,0940450097
La Storia,Good,28.49,Elsa Morante,Steerforth Press,1586420046
The Sword of Honour Trilogy,Very Good,25.89,Evelyn Waugh,Back Bay Books,0316216690
